size_target,arm,nmae_strain_mean,nmae_strain_std,nmae_strain_count,mae_strain_mean,mae_strain_std,mae_strain_count,rmse_strain_mean,rmse_strain_std,rmse_strain_count,nmae_Pauli_mean,nmae_Pauli_std,nmae_Pauli_count,mae_Pauli_mean,mae_Pauli_std,mae_Pauli_count,rmse_Pauli_mean,rmse_Pauli_std,rmse_Pauli_count,nmae_elst_mean,nmae_elst_std,nmae_elst_count,mae_elst_mean,mae_elst_std,mae_elst_count,rmse_elst_mean,rmse_elst_std,rmse_elst_count,nmae_oi_mean,nmae_oi_std,nmae_oi_count,mae_oi_mean,mae_oi_std,mae_oi_count,rmse_oi_mean,rmse_oi_std,rmse_oi_count,nmae_disp_mean,nmae_disp_std,nmae_disp_count,mae_disp_mean,mae_disp_std,mae_disp_count,rmse_disp_mean,rmse_disp_std,rmse_disp_count,nmae_barrier_mean,nmae_barrier_std,nmae_barrier_count,mae_barrier_mean,mae_barrier_std,mae_barrier_count,rmse_barrier_mean,rmse_barrier_std,rmse_barrier_count,size_actual_mean,size_actual_min,size_actual_max
100,xgb_base,0.31428992600800665,0.035467687162754474,5,7.260200665431699,0.7258574311046257,5,10.809813003731623,1.3029529915657732,5,0.3259635580053227,0.03803574282933812,5,26.494194342076497,2.8084827988394556,5,43.891694371402245,4.1917182320764566,5,0.4079694586116297,0.037341323880974366,5,14.982319017775051,1.703221474486085,5,23.12707939377851,2.976256851309292,5,0.24937186526226313,0.01690745530162504,5,13.732842674341327,0.9553849163974731,5,21.752436854931517,2.433201169865299,5,0.22062432502201684,0.018941800696745576,5,1.2875207658712913,0.15379589716840575,5,2.204591600460007,0.3146658756265571,5,0.4483541063945212,0.020583060197670013,5,12.382311221633776,0.9331281038353864,5,17.885375942520692,1.52964679577947,5,100.0,100,100
100,xgb_delta,0.31685743285675577,0.035436265877602895,5,7.321267140493047,0.746923228001639,5,10.855526918372963,1.2525505887019561,5,0.3341197883612466,0.03281486624421031,5,27.1466017266611,2.190660024021828,5,44.183506368300826,3.5278054530960827,5,0.4181111464701532,0.02839653186899444,5,15.340884058646433,1.2738001104594796,5,23.339501958062847,2.5040358030909853,5,0.2524227821430395,0.01697119896010388,5,13.90147933880527,0.976338723321248,5,21.91426293654331,2.248139998799411,5,0.2289449021295143,0.024482070678743976,5,1.3369285639547628,0.18987020676458116,5,2.2113937701057003,0.35211023594825797,5,0.4519872408987931,0.017460880555469117,5,12.476153400518694,0.7653968161034383,5,17.97928328407533,1.3617130781377857,5,100.0,100,100
200,xgb_base,0.27452894827749813,0.025951426310169463,5,6.3375989833973545,0.43151801191082995,5,9.667417182890048,0.9492724953847761,5,0.287720436280752,0.034059509074484476,5,23.336055597444386,1.8230908474022647,5,40.6038530005454,2.479537801706735,5,0.36584538857972715,0.02823097071352081,5,13.418849098400102,1.1275394252082536,5,21.742941676203337,2.327602207283737,5,0.20285011964785643,0.018335195771343148,5,11.151085874602312,0.6650684699644257,5,19.17916711721913,2.40462905794694,5,0.19144474400863395,0.021593729044714995,5,1.1176230813078332,0.1597901051447328,5,1.9771166030074556,0.3305359681275822,5,0.4019706889062456,0.038912812574229114,5,11.059237609684427,0.652525175297519,5,16.531454426727205,1.0330333486825174,5,200.0,200,200
200,xgb_delta,0.27590023567737704,0.02541944489783565,5,6.368678895189747,0.4041289893258077,5,9.718589757975883,0.9090368188140627,5,0.2869738157431489,0.03417374329044529,5,23.27456543310861,1.822868077322719,5,40.612176062348,2.5172779944212085,5,0.36546240519629997,0.029044410098598095,5,13.405829653427645,1.16899303423928,5,21.744465352735197,2.445410010968275,5,0.20220677619670133,0.018022508601594964,5,11.116204576126874,0.6504183307169703,5,19.194751265706337,2.429439393884888,5,0.2013530722479837,0.01727500349876567,5,1.1741857751281592,0.12863268808072423,5,1.975208103695031,0.3073767521866337,5,0.40166508812029156,0.039545807923238814,5,11.048998964209337,0.6360769851566646,5,16.50932157080045,1.1615656049288696,5,200.0,200,200
300,xgb_base,0.25533431415609364,0.027654359565582938,5,5.895456755933479,0.5121212858355606,5,9.17247493944672,1.352946700583525,5,0.24695068405788265,0.03407017956398949,5,20.01996508134885,1.9296095575627719,5,35.32528283525403,4.592302257267193,5,0.3224332533702225,0.03150615611031873,5,11.82477565364629,1.1918987512848647,5,19.748623368675283,2.822158130514341,5,0.1753240930430066,0.026684387582021966,5,9.611915795388963,1.0272496843703678,5,17.014499260829826,2.429662382138281,5,0.1678111902526877,0.012875155251099255,5,0.9787851630604658,0.10434788727629614,5,1.7504496253108823,0.23747871676562599,5,0.3643464462243041,0.03682724851466766,5,10.066030847985147,1.207231972878916,5,14.854715741360343,1.4739533339149389,5,300.0,300,300
300,xgb_delta,0.2584389031248128,0.03524544440990394,5,5.964621854047701,0.6788836623973604,5,9.254201012490505,1.4744926608416813,5,0.2517039020882338,0.028626638643940345,5,20.429622507955873,1.5828280413315614,5,35.946327739579836,3.9560482739149343,5,0.33176747594728206,0.03017036669200149,5,12.174780805621412,1.2351132119225108,5,20.27669376544865,2.3363078957082166,5,0.1771068097795337,0.02643603847895458,5,9.71474139114406,1.067008660161273,5,17.071296079189803,2.4929111223509017,5,0.1720137154066424,0.02459028366754676,5,1.0047978663369563,0.1742047630896174,5,1.6748991527051778,0.28225347924729194,5,0.3621583979084021,0.0363375868048353,5,10.005873292048646,1.1967974834224455,5,14.840990783181343,1.606210199845487,5,300.0,300,300
400,xgb_base,0.2488854528335808,0.02484305427357192,5,5.755526561816543,0.5620605207440853,5,9.027721393943638,1.505525508398285,5,0.22750139330880853,0.026303164541037254,5,18.459232058716662,1.4120281571145186,5,33.023168598648866,3.667636119678642,5,0.299966178159672,0.02670911661865791,5,10.994774632077775,0.9212809714725523,5,18.223846379511603,2.17065181800478,5,0.1586013383783798,0.02147646884515254,5,8.698034179570598,0.7385245852406824,5,15.564055950777112,1.6708992415662918,5,0.15788155804287057,0.008636965968295551,5,0.9199684530224029,0.07141207911441935,5,1.6177918940795835,0.22358997713652434,5,0.326512510297426,0.020850422472787247,5,9.028334922841779,0.9150308192610885,5,13.206337067469173,1.1612985942641596,5,400.0,400,400
400,xgb_delta,0.24882884897013063,0.024971749859693117,5,5.754645370875632,0.5703012408327292,5,9.019352944435429,1.5004828881945813,5,0.22699950794530124,0.026320196261455677,5,18.41664968885356,1.3817106760685327,5,32.971137737679236,3.651972512835539,5,0.2988443933756253,0.026351502635744265,5,10.95196025479021,0.878222379619149,5,18.142876241056218,2.1068976813286002,5,0.15840610095688187,0.0215849725056348,5,8.686889633958332,0.7421502716473612,5,15.562139410105157,1.6709269872128867,5,0.15770137096700615,0.011696149394978346,5,0.918625131600845,0.08043666997895345,5,1.5506443980234024,0.251418978832312,5,0.3276005394876957,0.020093693790819184,5,9.05788913298725,0.8982240617903416,5,13.178718871161703,1.2128596642373217,5,400.0,400,400
500,xgb_base,0.24329250651599904,0.01846811445445803,5,5.624121608344798,0.3878787427892225,5,8.956059557021081,1.3033281597613005,5,0.2161640305094401,0.02550887724772137,5,17.5556278183864,1.6472560609820275,5,31.261063252857088,3.336491722177693,5,0.27875276060881005,0.020596537709637746,5,10.212756112290425,0.6044496524845697,5,16.624498619975135,1.4624941822274427,5,0.1507419469825318,0.015143756711827041,5,8.279439108951282,0.4621277056585537,5,15.141038920198259,1.5498035182481427,5,0.15396998810054868,0.012619727424739116,5,0.8968129669478102,0.08420258735573595,5,1.5957360309385202,0.25850684193152984,5,0.3334642344109445,0.013992429451976197,5,9.205499582888692,0.5858822653910317,5,13.391648918382781,0.9588965101201178,5,500.0,500,500
500,xgb_delta,0.24311899162842138,0.018766373434339106,5,5.620097220634423,0.3946747072781106,5,8.95513132759402,1.3096775558775549,5,0.21618220086354262,0.025461801662051562,5,17.556969549144657,1.6408953195193694,5,31.258422017549925,3.3391960667928626,5,0.2785899256061897,0.020843316919181624,5,10.206999688901565,0.619722740652621,5,16.62475231221487,1.4714247470291577,5,0.1506725253722318,0.015160865081952368,5,8.275477541083898,0.4604252219487323,5,15.13555885486887,1.5462564433148058,5,0.15270693354434792,0.011486142258810087,5,0.8893546575758556,0.07633123786885274,5,1.579286116086624,0.2512934802268944,5,0.3337427966384047,0.013809227771053955,5,9.21348753665327,0.5887993270139705,5,13.399538326196359,0.9613198382531225,5,500.0,500,500
600,xgb_base,0.23351823803480448,0.013372239462000014,5,5.3994792986002285,0.29788087581169,5,8.50405285672587,1.030323350830999,5,0.20504693461355253,0.022264268053793734,5,16.639579489159853,1.1731357231547412,5,29.96029232400445,2.8374356948379926,5,0.2690264989243435,0.023140917573117828,5,9.852293787005678,0.6405583725434971,5,16.17683458483984,1.5079372508355737,5,0.14739534582421018,0.015606953947149277,5,8.094814788584575,0.5010589495843237,5,14.78938010512346,1.4060136230674534,5,0.1493427954812322,0.010366529041015309,5,0.8697033024512727,0.06891758496839591,5,1.5632371180253575,0.24620636228528198,5,0.3073815797828754,0.006817931635445526,5,8.479039540476325,0.26751089370572534,5,12.451053844293972,0.4837378668045997,5,600.0,600,600
600,xgb_delta,0.23360279160429842,0.013331277363199017,5,5.401369457124992,0.29553804438076686,5,8.48874584581409,1.0539497313834076,5,0.20496204634508391,0.02224071555069988,5,16.632982169485707,1.1761652746457003,5,29.949499705805174,2.8555993973743137,5,0.2686829925436553,0.023465727536718904,5,9.840020163502546,0.6611115987482117,5,16.157491172176293,1.535525247103175,5,0.14739520679683116,0.01560244535856446,5,8.094814026455037,0.5008085698379612,5,14.786773735137302,1.4106612316817526,5,0.14891117439803714,0.010919437229448036,5,0.8672944596200018,0.07303543822756343,5,1.538574467238511,0.2732516996497465,5,0.3079629389466275,0.007535418910719983,5,8.494127606866398,0.24415877112251727,5,12.483906039553691,0.4301495061662268,5,600.0,600,600
700,xgb_base,0.2275444087499169,0.013190457141441654,5,5.259519119558285,0.25155099640584316,5,8.33022945814229,0.8793538439540984,5,0.20783367296114946,0.016042204645017315,5,16.894649569839896,1.0231785433127718,5,30.42449781737522,2.107297351398708,5,0.26499187136679964,0.023730059632580156,5,9.709658908820632,0.7689706526681808,5,15.968277715915784,1.6748649789863541,5,0.1499370116799597,0.012233032120235002,5,8.23919156881187,0.25976857410941157,5,15.03949644731124,0.938544198442515,5,0.14937408661894053,0.010564057852742234,5,0.8694828945063462,0.06405449858275372,5,1.540372330155737,0.22666530032846788,5,0.30682265892737914,0.011945317901801023,5,8.462429104863663,0.33941325837708064,5,12.43290240727443,0.4219340634525406,5,626.4,626,627
700,xgb_delta,0.22755387751960346,0.013666495918348521,5,5.259662719989366,0.2620044089629354,5,8.323183983932125,0.8819654410522014,5,0.2077226030265366,0.016139312658937394,5,16.885320959242268,1.027563881560605,5,30.42165318008959,2.10709106397839,5,0.26439906946451885,0.024250996903768134,5,9.68789853459769,0.7893341270635114,5,15.955778588707654,1.681248115789298,5,0.14996136271538835,0.01221952342957174,5,8.240461661605183,0.25510458883936515,5,15.045011323039287,0.9249791026677296,5,0.1472278691840411,0.013314706610309254,5,0.8575139512939624,0.08506598133230946,5,1.4892962548952613,0.29205577184913717,5,0.3071341424535726,0.012381842026792319,5,8.470648559865882,0.3385990346375022,5,12.434808561376357,0.41742083687066733,5,626.4,626,627
786,xgb_base,0.2275444087499169,0.013190457141441654,5,5.259519119558285,0.25155099640584316,5,8.33022945814229,0.8793538439540984,5,0.20783367296114946,0.016042204645017315,5,16.894649569839896,1.0231785433127718,5,30.42449781737522,2.107297351398708,5,0.26499187136679964,0.023730059632580156,5,9.709658908820632,0.7689706526681808,5,15.968277715915784,1.6748649789863541,5,0.1499370116799597,0.012233032120235002,5,8.23919156881187,0.25976857410941157,5,15.03949644731124,0.938544198442515,5,0.14937408661894053,0.010564057852742234,5,0.8694828945063462,0.06405449858275372,5,1.540372330155737,0.22666530032846788,5,0.30682265892737914,0.011945317901801023,5,8.462429104863663,0.33941325837708064,5,12.43290240727443,0.4219340634525406,5,626.4,626,627
786,xgb_delta,0.22738144839928104,0.013298352455950619,5,5.255568677907566,0.24986930658197837,5,8.3270459197431,0.8783713463693461,5,0.20649152369685614,0.0154132625999293,5,16.779834353692117,0.8047848815371168,5,30.347954115067388,2.0470743306477135,5,0.26306898629950753,0.023160180303768624,5,9.63598182892149,0.6855990540883686,5,15.902054907974684,1.599985584110296,5,0.14970325107950605,0.012510462280184324,5,8.225623102164164,0.27382462500453125,5,15.030524750838614,0.9419733804073699,5,0.14874081983814283,0.009863073388831418,5,0.8658806197752892,0.0617917294335077,5,1.535593813273661,0.22614194556874542,5,0.3076048344469419,0.01128050632202208,5,8.48336643838457,0.30223035428605727,5,12.451968422537993,0.40550064314130935,5,626.4,626,627
