family,size_target,size_actual,fold,member,arm,nmae_strain,mae_strain,rmse_strain,nmae_Pauli,mae_Pauli,rmse_Pauli,nmae_elst,mae_elst,rmse_elst,nmae_oi,mae_oi,rmse_oi,nmae_disp,mae_disp,rmse_disp,nmae_barrier,mae_barrier,rmse_barrier
dipolar,100,100,0,0,xgb_base,0.23554154288852622,6.837785618007183,8.78675041405041,0.16351652098254368,15.68873963356018,21.565666738210968,0.17119168842415142,8.349172616004944,11.155474043766903,0.12146696101867085,9.35618702173233,14.574333698530303,0.49166077102094174,2.5097745656967163,3.785701487898032,1.1083396245702304,10.932501702010631,15.181757423187177
dipolar,100,100,0,0,xgb_delta,0.2118810569075668,6.150920240581035,7.726880796772947,0.16449796983610576,15.782905626296998,21.756428427008156,0.1724934958548069,8.412662935256957,11.34293178464145,0.12204085689809166,9.400392270088195,14.604947202978552,0.42338326825809897,2.1612392544746397,3.1605874707396975,1.10816872761908,10.93081599920988,15.194582223568565
dipolar,100,100,1,0,xgb_base,0.3395460455614024,8.465438258647918,10.772002999836891,0.18931227172933845,19.870168709754942,26.724915711780806,0.22126619089461996,11.539253163337708,14.529299823438814,0.09506480265234478,7.163513082265854,9.850264338619162,0.43820690569565507,2.2772736310958863,2.813266398275952,1.2167942000030991,11.566743052005767,15.159605440207125
dipolar,100,100,1,0,xgb_delta,0.33194334046802837,8.275890386104583,10.542016705355481,0.1885284774153102,19.787901854515077,26.65413839781478,0.22152476562843243,11.552738094329834,14.516338079855965,0.09663698666152079,7.281983435153961,9.91197112587002,0.38536675001756254,2.0026739120483397,2.362850938943797,1.2502073792589774,11.884365916252136,15.613546140021613
dipolar,100,100,2,0,xgb_base,0.2569496699447744,8.715182671180138,12.50803604686915,0.19047807569859443,21.958254985320263,50.462788877083945,0.24305663670570402,14.136845124073517,28.541977037627717,0.1511425836517803,13.216915093935453,25.98605560741585,0.45930979816148576,2.1236600631322617,2.7751301909570762,1.3498254025869478,10.405180075229742,14.060807930445145
dipolar,100,100,2,0,xgb_delta,0.2656362424303359,9.009812611799974,12.774770803150856,0.18841138011106867,21.720006942749023,50.4268687474626,0.2347099605122871,13.651379389640612,28.54499999699374,0.15051655566848202,13.162171033712534,25.960278783814573,0.38408396036813547,1.7758466524955554,2.3056805250041044,1.4626911106698988,11.27520964695857,15.190050661917669
dipolar,100,100,3,0,xgb_base,0.36095497259068055,8.543172066028301,11.409800625804362,0.1972565511224229,15.98752559759678,27.51871798864441,0.20820854172124212,8.537582348554562,12.445133468276678,0.08655431981618517,5.670891040410751,9.384331336519942,0.7870245020731687,2.7163988015590568,3.638106405699635,1.4826850347956904,8.54525487850874,11.12284825681445
dipolar,100,100,3,0,xgb_delta,0.3694150692755305,8.743407738514435,11.542462575199773,0.20981021626836677,17.0049926562187,27.273745304562677,0.2127859685295231,8.72527953905937,11.946465119094277,0.09430073626810344,6.178423001216008,10.11703726296579,0.8928257360613094,3.081569573818109,4.326290771253337,1.7252461335214881,9.943222999572754,12.802472883005002
dipolar,100,100,4,0,xgb_base,0.32814408274482454,9.951602941904312,15.036963818086683,0.17704954676980258,20.0429865030142,42.879762830162896,0.18197577191030506,10.345792623666616,27.901084088827787,0.15574696167499127,13.440200756757687,25.5227457807328,0.47975507129463374,1.9466700431628106,2.598758433426631,1.2897343892125759,11.936810658528255,17.374251605046968
dipolar,100,100,4,0,xgb_delta,0.3246203806299442,9.844739871147352,14.997239485999515,0.1771459437904986,20.053899178138145,42.89131544962556,0.18202408293424693,10.348539230151054,27.911880907652026,0.15576745803678865,13.441969492496588,25.527222450680096,0.47029532164267324,1.9082858501336513,2.5642300435032723,1.2888234365325113,11.928379566241533,17.355313171045477
dipolar,150,150,0,0,xgb_base,0.20913014027840035,6.071060959994793,8.460548103323204,0.1473699184708356,14.139539337158203,19.26578886011449,0.16895763949925544,8.240216040611267,10.665865310690798,0.11640328804478424,8.966149508953094,14.450062680920139,0.48544071031573927,2.478023099899292,3.7422867274644727,1.0329769587478246,10.18913526982069,13.998651838202168
dipolar,150,150,0,0,xgb_delta,0.1957256962005191,5.681929115951061,7.8710131295887305,0.14763713164348313,14.165177345275879,19.306007082622806,0.16955835328947522,8.269513392448426,10.749472259909457,0.11670556293957682,8.98943271636963,14.454701372638228,0.40664535029684246,2.075797414779663,3.3164461155101432,1.01570587649701,10.018775813281536,13.917408004141343
dipolar,150,150,1,0,xgb_base,0.3429102925839356,8.549314439296722,10.739208124309007,0.15722689485588626,16.502495574951173,23.951605506869548,0.15955778388547376,8.321098017692567,11.6154886614172,0.09940149557452134,7.490300238132477,10.542973872528126,0.4087235725466268,2.1240546464920045,2.6379162689810522,1.0699884709058745,10.17122017145157,12.288123269244577
dipolar,150,150,1,0,xgb_delta,0.34192237155802363,8.524683952331543,10.70324358103252,0.15723613950379528,16.5034658908844,24.00844320432518,0.1600387671140898,8.346181774139405,11.645175976482879,0.0987735614199189,7.44298288822174,10.455612216766179,0.36811324909374643,1.9130109190940856,2.2962144943781264,1.1116490649062019,10.56724226474762,12.856583991591657
dipolar,150,150,2,0,xgb_base,0.23942811496337255,8.120889040140005,11.857075520470955,0.14349560916301937,16.542130445822693,37.4240207740991,0.15925813190532884,9.262892698630308,19.989458861512947,0.1039464193664231,9.089767859532284,19.762392303173442,0.42594611662132215,1.9694000879923503,2.430825324298198,0.9403244502306549,7.248526524274777,10.128636963655518
dipolar,150,150,2,0,xgb_delta,0.24224601337758303,8.21646612118452,11.996885110419791,0.1434352014858341,16.53516666705792,37.38185420277318,0.15866921224157118,9.228639504848383,19.978031694187756,0.10185107810933398,8.90653725159474,19.69926294220271,0.3819882012858622,1.7661567223377717,2.433231375976299,0.989646952645566,7.628730896191719,10.641141822577787
dipolar,150,150,3,0,xgb_base,0.31767773158504975,7.51887556222769,10.06668744940015,0.13625059786950636,11.043029540624374,17.350141759805055,0.15004375989104174,6.1525379572159204,9.116033310086939,0.07404651376802932,4.851400974469307,6.694169013805645,0.6381638126597404,2.20260920891395,2.808257747946963,1.0190323695709758,5.873055384709285,8.805073992217741
dipolar,150,150,3,0,xgb_delta,0.31482428751483416,7.451339538280781,10.054657962337076,0.13579292676557422,11.005935571132563,17.351724220653345,0.1494258637817756,6.1272011536818285,9.116251628099343,0.07332172711750418,4.803914192395332,6.6629220771637385,0.5510426233041839,1.90191222459842,2.484873639794379,1.0170086962275477,5.8613922168047,8.805386385630966
dipolar,150,150,4,0,xgb_base,0.2705868814213075,8.206069671190702,10.819480569260003,0.15899113915836152,17.998675028483074,35.09410374927813,0.1634841966262765,9.294498810401329,16.908987067104267,0.10289639746863934,8.879455651992407,15.499529580835413,0.4690084542063392,1.9030642142662635,2.3605001920608717,1.013971071851208,9.384552973967333,13.40907935500888
dipolar,150,150,4,0,xgb_delta,0.2509991618985217,7.6120342535850325,10.16665708440201,0.15856353684620525,17.9502680851863,35.00502761293581,0.16238090128919302,9.23177362099672,16.83785790863454,0.10053841305460762,8.6759731341631,15.418149414948,0.6666464175863346,2.705006550519894,3.5275320672073294,1.005841229035699,9.309309268609072,13.336509081427867
dipolar,50,50,0,0,xgb_base,0.2623495272238099,7.6160230681300165,10.007045396060622,0.20608717537321233,19.773219347000122,32.553362633151394,0.18955590623407462,9.244812035560608,14.60132955635904,0.14930160753027658,11.50019520521164,16.797623198008054,0.512953218047896,2.618465852737427,3.952604563543608,1.0547676899070986,10.404075889289379,17.00371748072263
dipolar,50,50,0,0,xgb_delta,0.2633250507254935,7.644342575967312,9.899734746282416,0.20580998521766666,19.746624088287355,32.48406408906918,0.19154755241544058,9.341946411132813,14.606284517681136,0.15106844394624028,11.636288607120514,16.914692342435753,0.5807281545825931,2.9644357204437255,3.9691438725147306,1.0869103672863318,10.721126608550549,16.95053401998779
dipolar,50,50,1,0,xgb_base,0.3892673112659242,9.705070734024048,11.644404015863193,0.3635021003436592,38.15308957099914,67.37567456000706,0.40124110591919004,20.925124990940095,35.21817089420473,0.20797301307929109,15.671598303318024,25.79994236480615,0.43540525798121,2.2627140283584595,2.917008785581484,1.3961700594530468,13.271874845027924,17.347055972606796
dipolar,50,50,1,0,xgb_delta,0.4105609137842672,10.235955071449279,12.161390216556198,0.37236135196987125,39.08295440673828,66.98979655307723,0.40650532695728747,21.199659383296968,35.24081355011812,0.21637627789158365,16.30481791496277,25.956172586706572,0.583682747940954,3.033282482624054,3.6472002222401185,1.6977720344701526,16.138877785205842,19.625972117517886
dipolar,50,50,2,0,xgb_base,0.27390890723579236,9.290403690093603,12.869456621862652,0.2587188391662074,29.825029568794445,60.70690183590612,0.28076714593805807,16.330192468105217,30.4524470403563,0.19470390910374116,17.02620778939663,30.56729603564552,0.6444147417137476,2.979509378090883,3.4106776069028997,1.702446625329824,13.123374083103277,17.456948914978966
dipolar,50,50,2,0,xgb_delta,0.26233280963961786,8.897767244241177,12.394995347148708,0.2648916179593153,30.536625642042893,61.14897740564931,0.2786886463093045,16.209301190498547,30.528725609420963,0.1932139918708059,16.895919494139843,30.568705368683492,0.6635573393628381,3.068016895881066,3.757633301067579,1.6732768784006995,12.898517987666986,17.249745722503572
dipolar,50,50,3,0,xgb_base,0.3388317766329406,8.019554761739878,9.701414063852619,0.14427911313177263,11.693735905182667,19.07258158014257,0.14963540524634672,6.1357933924748345,8.29589531128244,0.09821528506371373,6.434897545056465,11.55768971967454,0.7083440240880329,2.444834758073856,3.0859165379650926,1.752923327292967,10.102736766521748,13.52400184960898
dipolar,50,50,3,0,xgb_delta,0.3327638683711663,7.8759379998231545,9.542797246219491,0.14403644581360403,11.674067864051231,19.06150299693708,0.14985094298107438,6.1446315080691605,8.29310335229439,0.09794962496342574,6.417491949521578,11.566370677048758,0.6894426100077473,2.3795969180571728,2.8860427751556754,1.762103918693869,10.155647864708534,13.666386355949653
dipolar,50,50,4,0,xgb_base,0.3091817424005502,9.376533355468359,13.99396711579735,0.27019700235794164,30.58779291006235,53.19388520902589,0.28280492325474105,16.07819029001089,31.52857428433256,0.2066253278696313,17.83075482264543,27.212731378152345,0.5554116082650153,2.2536565095950394,2.8372468288568276,1.1571349614526218,10.709570169448853,14.462595100318767
dipolar,50,50,4,0,xgb_delta,0.3091813239208701,9.376520664263994,13.993963760792807,0.27019686195337883,30.58777701549041,53.19386779063874,0.2828047133582864,16.078178356855343,31.528564199197767,0.206625403634889,17.830761360816467,27.212712597829864,0.5554124881290464,2.2536600797604294,2.837252598850143,1.1571355797014642,10.709575891494751,14.46260207836815
qmrxn20_e2,100,100,0,0,xgb_base,0.31453478819175407,4.156018018722534,6.026039818583728,0.2851255165827244,6.357921028137207,9.371640698066312,0.3685952171220224,5.054606342315674,7.485770636181388,0.22229637198416227,4.757075691223145,6.709003711737742,0.339181636173539,0.30253306329250335,0.5898443535181539,0.47731065668612177,5.214992526173591,8.203462554702972
qmrxn20_e2,100,100,0,0,xgb_delta,0.31843611163506735,4.2075670719146725,5.967443456210001,0.2894503317566034,6.454358673095703,9.677781794793457,0.40055025664958904,5.492811012268066,8.192828931786138,0.22328889347196676,4.7783153533935545,7.017750232930446,0.3519187834404767,0.3138939619064331,0.5743820376640335,0.46851401725816544,5.118882355093956,8.286354178465528
qmrxn20_e2,100,100,1,0,xgb_base,0.31580012915359257,5.242373460531235,10.656993224611265,0.249744167600811,8.395624732971191,14.01380395101595,0.3567138722000342,5.436676120758056,7.22065001856633,0.218818859518818,7.574349212646484,12.118022160306488,0.5097819706286838,0.286083272844553,0.4338224420238895,0.5498674029712576,7.035771765559912,9.7590525229741
qmrxn20_e2,100,100,1,0,xgb_delta,0.3158001097644675,5.242373138666153,10.656989726257333,0.24974395199720736,8.395617485046387,14.013793222460281,0.3567135217915192,5.436670780181885,7.2206569823958775,0.21881874931427345,7.574345397949219,12.118019318758396,0.5097878202346965,0.286086555570364,0.4338252796100577,0.5498674053004016,7.035771795362234,9.75905237295597
qmrxn20_e2,100,100,2,0,xgb_base,0.2879861082544054,3.3302939772605895,4.809543576554922,0.22988540370658891,5.543037033081054,7.13923207705534,0.3127867299233621,4.5822906494140625,5.952205384479703,0.16099428072554675,4.073306274414063,5.637171231519068,0.281897010744623,0.16137194633483887,0.23414425680862652,0.6416548737364471,6.090463659167289,7.696720612618402
qmrxn20_e2,100,100,2,0,xgb_delta,0.2830464135729457,3.2731709599494936,4.684454776674653,0.2335069588361242,5.6303606033325195,7.2049077131957615,0.30016667773049177,4.397408294677734,5.7095732281350395,0.1595542821120549,4.0368729591369625,5.637954029205131,0.31563310900521163,0.18068417608737947,0.26213208155845485,0.606521810834408,5.756987437605858,7.3786545538657045
qmrxn20_e2,100,100,3,0,xgb_base,0.4044503677439393,5.108694911003113,7.386641904014344,0.40023864843051865,9.075016212463378,13.74999678113169,0.5595718163910348,6.853187847137451,10.492856421722081,0.18656580516164625,4.348802185058593,6.262998708438661,0.26756166139017323,0.15543994903564454,0.26166209226518494,0.4575500966657918,4.662858290970325,6.3261320747491405
qmrxn20_e2,100,100,3,0,xgb_delta,0.38836527513564506,4.905520832538604,6.8307833578886274,0.36517137288608814,8.279900360107423,12.797922485073222,0.6193500860423449,7.585304260253906,10.751410323626361,0.21517635028876514,5.0157068252563475,6.77911947241174,0.41524018770655974,0.24123378992080688,0.3149585654455717,0.4869797794404214,4.962773953378201,6.551287438290661
qmrxn20_e2,100,100,4,0,xgb_base,0.26470216734711327,3.269761550120818,4.337499857514001,0.36751627949668475,8.206582485101162,12.307144817618916,0.41900241051902426,5.2245223216521435,9.322962819212652,0.23469156898522614,5.318564781775842,7.235174262417837,0.22880152506399762,0.14421265553205442,0.19213521870785177,0.6515336523717412,6.5425081711549025,9.478265492963391
qmrxn20_e2,100,100,4,0,xgb_delta,0.30262582521251064,3.7382175494463015,5.7275830123154,0.4876901430650126,10.89004653539413,14.389110970752878,0.6469684528022984,8.067020709698017,11.13482649657143,0.2692706440916473,6.1021934900528345,7.482012128691574,0.36244726496663643,0.22844901298865294,0.34709528552596575,0.6608106339759452,6.635664875690754,8.997622327087456
qmrxn20_e2,150,150,0,0,xgb_base,0.21553272244737323,2.8478817343711853,4.1964457917465205,0.2675061358584065,5.9650321960449215,8.66587727322206,0.2983687986408603,4.091580009460449,6.559748764446555,0.19220929930055222,4.11322135925293,5.815694460539393,0.23247928090969183,0.20735989660024642,0.3684909425520939,0.4393800158918946,4.8005705863237385,6.364546384774695
qmrxn20_e2,150,150,0,0,xgb_delta,0.21495908486328974,2.8403021335601806,4.132965451505209,0.267649477780722,5.968228530883789,8.655115156422248,0.29872457411152825,4.096458816528321,6.583044795661085,0.19123760742127704,4.092427444458008,5.817533053963693,0.2071516524254602,0.18476891815662383,0.3010427641682226,0.4557491881558786,4.979416605830193,6.499846496109692
qmrxn20_e2,150,150,1,0,xgb_base,0.2724803521647072,4.523252636194229,10.430203950609881,0.22939184557621334,7.711442756652832,13.178995735272892,0.3928518277320399,5.9874547004699705,7.799336851908538,0.21542859027858025,7.456996059417724,12.3198694566998,0.3492617743270124,0.19600134417414666,0.2974163685138453,0.5707648812492926,7.3031632982194425,9.838738400182994
qmrxn20_e2,150,150,1,0,xgb_delta,0.2919047503062005,4.845703262090683,9.176267182834795,0.21888439827937411,7.358214950561523,12.081345986260212,0.31496264132129775,4.800345611572266,6.088811195304126,0.2147171538209271,7.432369899749756,12.28642742384971,0.3942597238664351,0.22125363126397132,0.29154292366872264,0.528540162454605,6.762881254404784,9.061480181639958
qmrxn20_e2,150,150,2,0,xgb_base,0.2402318231596333,2.7780596733093263,4.386633463814624,0.15529994303648084,3.744619369506836,4.687418524222479,0.24791004333377395,3.631854438781738,4.591534437066275,0.10775510480395734,2.7263051986694338,3.84133615053552,0.2170496545725145,0.12425007671117783,0.19541924431345123,0.431349738602047,4.094288089871407,6.282917747113018
qmrxn20_e2,150,150,2,0,xgb_delta,0.2410840431798124,2.78791481256485,4.424407049998172,0.15556480406565174,3.751005744934082,4.698926762046606,0.24744298021672337,3.625012016296387,4.562820409992299,0.10412918474448177,2.6345660209655763,3.717585799791907,0.23165264263777968,0.1326095573604107,0.15589083576797927,0.42512952275523586,4.035247007012368,6.23310316178152
qmrxn20_e2,150,150,3,0,xgb_base,0.19208481721368237,2.4262624204158785,3.632634098375866,0.2908737165073995,6.595274353027344,9.525261512868067,0.3947538709281746,4.834629535675049,7.184901547739858,0.11785875648475849,2.7472580909729003,3.8582859152448545,0.20200199320762618,0.11735305935144424,0.1706443180788792,0.39791146871260197,4.055085562169552,5.437301090468428
qmrxn20_e2,150,150,3,0,xgb_delta,0.19432867060554435,2.4546049892902375,3.7648144210713834,0.37062860432715805,8.4036376953125,11.583514375162277,0.47911100334035606,5.86776819229126,8.408758678068077,0.14922013539137144,3.478283977508545,4.377473453806299,0.2979336184246101,0.17308453768491744,0.2356908815492791,0.4098315483465553,4.176562188565731,5.445374937307919
qmrxn20_e2,150,150,4,0,xgb_base,0.2414460896314434,2.9824883876702724,4.534198132209005,0.2795105377597435,6.241427690554888,10.355167005074096,0.38043081935088957,4.7435748760516825,8.413492569758946,0.1400760459510514,3.174394069573818,4.791242752772122,0.18605045902169068,0.11726683531052028,0.14966733291378698,0.5514531022286111,5.537528896943117,7.775138309549934
qmrxn20_e2,150,150,4,0,xgb_delta,0.24295191005388028,3.0010891938820863,4.50771958108424,0.29667505366605706,6.624708713629307,11.3716915098341,0.4809251243808839,5.996633872007712,10.157074741502473,0.14683763214569706,3.3276246877817006,4.7698582153644455,0.18887227372967982,0.11904541345743033,0.14865746536272967,0.5345202593769879,5.367494298861577,7.808244187665681
qmrxn20_e2,50,50,0,0,xgb_base,0.4318024671924153,5.705501908063889,8.267762218092138,0.5280792288902321,11.77546672821045,17.401032690866025,0.6489118078726139,8.898633480072021,12.590672747566412,0.33458188401474176,7.159951972961426,10.63343521324279,0.4707580579488661,0.41989265382289886,0.7033728667672964,0.6444311847909386,7.040915104746818,9.289613333289388
qmrxn20_e2,50,50,0,0,xgb_delta,0.5386960981012977,7.1179111957550045,10.057487764865842,0.5291533181924806,11.799417495727539,17.05754874263461,0.6662019894635167,9.135736560821533,12.713328692943202,0.3356519126808821,7.18285026550293,10.985546693721442,0.5390855606638756,0.48083737045526503,0.7111785336376293,0.6447890783581373,7.044825372099877,9.40118132757919
qmrxn20_e2,50,50,1,0,xgb_base,0.424044356783633,7.039258939027786,11.500364155340387,0.3678880260551081,12.367255020141602,21.512384832809285,0.5890517812928872,8.977738189697266,13.957786403618524,0.2838748062444229,9.826241302490235,15.7544751926062,0.588326837108155,0.33016167059540746,0.4709432341294648,0.6038021603935615,7.7258884035050865,10.183487837563623
qmrxn20_e2,50,50,1,0,xgb_delta,0.42283704839143554,7.0192172706127165,11.630398001575017,0.3540149611153235,11.900885581970215,20.545878711570506,0.5686147865835314,8.666257953643798,13.621135460690383,0.27470834488514945,9.508946990966797,14.468746525383755,0.6591331527851845,0.3698972903192043,0.4656833678227759,0.6382242954574974,8.166333290189504,10.437198829774301
qmrxn20_e2,50,50,2,0,xgb_base,0.41177634495421617,4.761813998222351,7.403108560466165,0.3720211927520437,8.970240020751953,11.571923688301853,0.5063626558123373,7.418156337738037,9.268136542965937,0.29287742771650094,7.410073566436767,13.049296488205337,0.3444054143667539,0.19715488255023955,0.2929351398335371,0.7905095995122571,7.503363856673241,9.282590676303986
qmrxn20_e2,50,50,2,0,xgb_delta,0.46281548702515685,5.352034646272659,7.762050625711498,0.48645413817844,11.72946720123291,14.46990024576697,0.5317415680651247,7.789954566955567,9.852612237877402,0.3628642792967011,9.180806541442871,14.350973914966554,0.48076140249533644,0.27521186918020246,0.40684305178163377,0.7852006569513409,7.452972403168678,9.609146736164519
qmrxn20_e2,50,50,3,0,xgb_base,0.335654287574193,4.239717620611191,7.024319488729293,0.46548651517343365,10.554447174072266,14.688304494784203,0.6501138389356784,7.962074089050293,10.794243895167568,0.2588807149634376,6.0344446182250975,9.8219924824532,0.42722353236479116,0.24819551408290863,0.40499212215752267,0.7324735723198381,7.464582554996014,9.17780436291264
qmrxn20_e2,50,50,3,0,xgb_delta,0.4336693013736422,5.477765208482742,7.474989932199526,0.5691761080980575,12.905506324768066,17.00351933509636,0.7396817933202611,9.059030723571777,12.296169868925512,0.3483733166848471,8.120494747161866,11.650455577600306,0.5323291146243535,0.3092566028237343,0.4666173400038594,0.8174882187987246,8.330960361659526,10.410317156188155
qmrxn20_e2,50,50,4,0,xgb_base,0.26805570744381724,3.311186509254651,4.248438250155449,0.457951675005219,10.225991077912159,17.06157147398565,0.5239645833023409,6.53329096084986,11.4237579923754,0.5055620056714201,11.457012665577423,15.19099976352262,0.43452005277448147,0.2738761932421953,0.3312779971482533,0.9358064436233149,9.39709143455212,13.83992070422099
